epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
46,281,,,,,,131618.984375,243.7206573486328
46,281,,,112849.953125,229.83782958984375,,,
47,284,,,,,244.63436889648438,,
47,287,,,,,,117376.84375,249.85919189453125
47,287,,,96035.671875,212.8898468017578,,,
48,289,,,,,243.01547241210938,,
48,293,,,,,,143432.640625,250.52352905273438
48,293,,,87720.421875,216.26361083984375,,,
49,294,,,,,188.89373779296875,,
49,299,,,,,200.84877014160156,,
49,299,,,,,,114444.6171875,238.85877990722656
49,299,,,115384.734375,247.7093505859375,,,
50,300,114444.6171875,238.85877990722656,,,,,
